Date,Game #,Player,Tries,Time,Hints
02/15/23,233,Fox,1,0:19,0
02/16/23,234,Fox,1,0:50,0
02/17/23,235,Fox,2,1:24,0
02/18/23,236,Fox,1,0:08,0
02/19/23,237,Fox,7,1:41,0
02/20/23,238,Fox,1,0:18,0
02/21/23,239,Fox,3,1:08,0
02/22/23,240,Fox,2,0:28,0
02/23/23,241,Fox,5,1:18,0
02/24/23,242,Fox,2,0:52,0
02/25/23,243,Fox,2,0:27,0
02/26/23,244,Fox,1,0:21,0
02/27/23,245,Fox,7,2:13,0
02/28/23,246,Fox,2,0:35,0
03/01/23,247,Fox,16,3:34,0
03/02/23,248,Fox,2,0:37,0
03/03/23,249,Fox,62,25:21:00,0
03/04/23,250,Fox,1,0:27,0
03/05/23,251,Fox,10,10:12,0
03/06/23,252,Fox,3,4:07,0
03/07/23,253,Fox,4,1:01,0
03/08/23,254,Fox,2,0:39,0
03/09/23,255,Fox,44,19:18,0
03/10/23,256,Fox,1,0:16,0
03/11/23,257,Fox,1,0:38,0
03/12/23,258,Fox,3,0:58,0
03/13/23,259,Fox,1,0:50,0
03/14/23,260,Fox,1,0:20,0
03/15/23,261,Fox,1,0:18,0
03/16/23,262,Fox,1,0:26,0
03/17/23,263,Fox,1,0:28,0
03/18/23,264,Fox,1,0:21,0
03/19/23,265,Fox,2,0:59,0
03/20/23,266,Fox,4,1:46,0
03/21/23,267,Fox,4,2:28,0
03/22/23,268,Fox,2,0:34,0
03/23/23,269,Fox,5,1:56,0
03/24/23,270,Fox,3,1:11,0
03/25/23,271,Fox,3,1:35,0
03/26/23,272,Fox,1,0:20,0
03/27/23,273,Fox,1,0:32,0
03/28/23,274,Fox,1,0:11,0
03/29/23,275,Fox,1,0:29,0
03/30/23,276,Fox,1,0:33,0
03/31/23,277,Fox,4,1:48,0
04/01/23,278,Fox,3,0:41,0
04/02/23,279,Fox,1,0:28,0
04/03/23,280,Fox,2,1:56,0
04/04/23,281,Fox,1,0:23,0
04/05/23,282,Fox,17,6:43,0
04/06/23,283,Fox,28,10:10,0
04/07/23,284,Fox,2,0:55,0
04/08/23,285,Fox,2,0:38,0
04/09/23,286,Fox,3,1:01,0
04/10/23,287,Fox,142,31:03:00,0
04/11/23,288,Fox,65,13:10,0
04/12/23,289,Fox,3,0:59,0
04/13/23,290,Fox,2,1:12,0
04/14/23,291,Fox,1,0:21,0
04/15/23,292,Fox,33,10:59,0
04/16/23,293,Fox,6,3:27,0
04/17/23,294,Fox,2,0:45,0
04/18/23,295,Fox,9,2:17,0
04/19/23,296,Fox,3,0:55,0
04/20/23,297,Fox,1,0:19,0
04/21/23,298,Fox,5,2:01,0
04/22/23,299,Fox,7,1:57,0
04/23/23,300,Fox,6,1:51,0
04/24/23,301,Fox,4,4:09,0
04/25/23,302,Fox,2,0:44,0
04/26/23,303,Fox,,,
04/27/23,304,Fox,2,0:17,0
04/28/23,305,Fox,21,9:44,0
04/29/23,306,Fox,5,1:14,0
04/30/23,307,Fox,5,2:41,0
05/01/23,308,Fox,22,4:28,0
05/02/23,309,Fox,18,6:19,0
05/03/23,310,Fox,15,4:35,0
05/04/23,311,Fox,16,4:31,0
05/05/23,312,Fox,2,0:38,0
05/06/23,313,Fox,5,0:53,0
05/07/23,314,Fox,,,
05/08/23,315,Fox,89,20:34,1
05/09/23,316,Fox,1,0:14,0
05/10/23,317,Fox,13,4:18,0
05/11/23,318,Fox,6,2:48,0
05/12/23,319,Fox,2,0:24,0
05/13/23,320,Fox,4,1:08,0
05/14/23,321,Fox,1,0:17,0
05/15/23,322,Fox,22,6:01,0
05/16/23,323,Fox,26,5:45,2
05/17/23,324,Fox,1,0:40,0
05/18/23,325,Fox,3,0:36,0
05/19/23,326,Fox,4,0:47,0
05/20/23,327,Fox,1,0:13,0
05/21/23,328,Fox,2,0:22,0
05/22/23,329,Fox,63,20:54,0
05/23/23,330,Fox,5,2:22,0
05/24/23,331,Fox,29,7:04,0
05/25/23,332,Fox,4,1:12,0
05/26/23,333,Fox,1,0:15,0
05/27/23,334,Fox,3,0:53,0
05/28/23,335,Fox,3,1:17,0
05/29/23,336,Fox,1,0:15,0
05/30/23,337,Fox,1,0:20,0
05/31/23,338,Fox,3,0:36,0
06/01/23,339,Fox,1,0:21,0
06/02/23,340,Fox,1,0:09,0
06/03/23,341,Fox,1,0:27,0
06/04/23,342,Fox,1,0:14,0
06/05/23,343,Fox,3,0:57,0
06/06/23,344,Fox,2,0:41,0
06/07/23,345,Fox,1,0:13,0
06/08/23,346,Fox,1,0:14,0
06/09/23,347,Fox,6,1:13,0
06/10/23,348,Fox,10,2:00,0
06/11/23,349,Fox,3,0:50,0
06/12/23,350,Fox,3,1:01,0
06/13/23,351,Fox,10,3:14,0
06/14/23,352,Fox,2,0:39,0
06/15/23,353,Fox,6,1:34,0
06/16/23,354,Fox,6,2:12,0
06/17/23,355,Fox,49,9:50,0
06/18/23,356,Fox,1,1:00,0
06/19/23,357,Fox,1,0:15,0
06/20/23,358,Fox,2,0:41,0
06/21/23,359,Fox,,,
06/22/23,360,Fox,2,0:29,0
06/23/23,361,Fox,15,4:19,0
06/24/23,362,Fox,12,6:59,0
06/25/23,363,Fox,2,0:37,0
06/26/23,364,Fox,37,9:44,0
06/27/23,365,Fox,5,1:03,0
06/28/23,366,Fox,2,0:41,0
06/29/23,367,Fox,41,7:19,0
06/30/23,368,Fox,10,4:57,0
07/01/23,369,Fox,46,11:08,0
07/02/23,370,Fox,3,0:56,0
07/03/23,371,Fox,1,0:20,0
07/04/23,372,Fox,2,0:23,0
07/05/23,373,Fox,1,0:11,0
07/06/23,374,Fox,2,0:22,0
07/07/23,375,Fox,15,4:32,0
07/08/23,376,Fox,2,0:28,0
07/09/23,377,Fox,1,0:14,0
07/10/23,378,Fox,2,0:29,0
07/11/23,379,Fox,3,1:07,0
07/12/23,380,Fox,3,0:34,0
07/13/23,381,Fox,1,0:09,0
07/14/23,382,Fox,2,0:34,0
07/15/23,383,Fox,4,0:46,0
07/16/23,384,Fox,4,1:10,0
07/17/23,385,Fox,1,1:39,0
07/18/23,386,Fox,9,2:16,0
07/19/23,387,Fox,3,0:44,0
07/20/23,388,Fox,7,2:01,0
07/21/23,389,Fox,24,6:56,0
07/22/23,390,Fox,33,9:41,0
07/23/23,391,Fox,11,2:31,0
07/24/23,392,Fox,36,8:39,0
07/25/23,393,Fox,5,1:25,0
07/26/23,394,Fox,5,1:19,0
07/27/23,395,Fox,3,0:42,0
07/28/23,396,Fox,,,
07/29/23,397,Fox,,,
07/30/23,398,Fox,,,
07/31/23,399,Fox,,,
08/01/23,400,Fox,,,
08/02/23,401,Fox,,,
08/03/23,402,Fox,,,
08/04/23,403,Fox,,,
08/05/23,404,Fox,,,
08/06/23,405,Fox,,,
08/07/23,406,Fox,,,
08/08/23,407,Fox,,,
08/09/23,408,Fox,,,
08/10/23,409,Fox,,,
08/11/23,410,Fox,,,
08/12/23,411,Fox,,,
08/13/23,412,Fox,,,
08/14/23,413,Fox,,,
08/15/23,414,Fox,,,
08/16/23,415,Fox,,,
08/17/23,416,Fox,,,
08/18/23,417,Fox,,,
08/19/23,418,Fox,,,
08/20/23,419,Fox,,,
08/21/23,420,Fox,,,
08/22/23,421,Fox,,,
08/23/23,422,Fox,,,
08/24/23,423,Fox,,,
08/25/23,424,Fox,,,
08/26/23,425,Fox,,,
08/27/23,426,Fox,,,
08/28/23,427,Fox,,,
08/29/23,428,Fox,,,
08/30/23,429,Fox,,,
08/31/23,430,Fox,,,
09/01/23,431,Fox,,,
09/02/23,432,Fox,,,
09/03/23,433,Fox,,,
09/04/23,434,Fox,,,
09/05/23,435,Fox,,,
09/06/23,436,Fox,,,
09/07/23,437,Fox,,,
09/08/23,438,Fox,,,
09/09/23,439,Fox,,,
09/10/23,440,Fox,,,
09/11/23,441,Fox,,,
09/12/23,442,Fox,,,
09/13/23,443,Fox,,,
09/14/23,444,Fox,,,
09/15/23,445,Fox,,,
09/16/23,446,Fox,,,
09/17/23,447,Fox,,,
09/18/23,448,Fox,,,
09/19/23,449,Fox,,,
09/20/23,450,Fox,,,
09/21/23,451,Fox,,,
09/22/23,452,Fox,,,
09/23/23,453,Fox,,,
09/24/23,454,Fox,,,
09/25/23,455,Fox,,,
09/26/23,456,Fox,,,
09/27/23,457,Fox,,,
09/28/23,458,Fox,,,
09/29/23,459,Fox,,,
09/30/23,460,Fox,,,
10/01/23,461,Fox,,,
10/02/23,462,Fox,,,
10/03/23,463,Fox,,,
10/04/23,464,Fox,,,
10/05/23,465,Fox,,,
10/06/23,466,Fox,,,
10/07/23,467,Fox,,,
10/08/23,468,Fox,,,
10/09/23,469,Fox,,,
10/10/23,470,Fox,,,
10/11/23,471,Fox,,,
10/12/23,472,Fox,,,
10/13/23,473,Fox,,,
10/14/23,474,Fox,,,
10/15/23,475,Fox,,,
10/16/23,476,Fox,,,
10/17/23,477,Fox,,,
10/18/23,478,Fox,,,
10/19/23,479,Fox,,,
10/20/23,480,Fox,,,
10/21/23,481,Fox,,,
10/22/23,482,Fox,,,
10/23/23,483,Fox,,,
10/24/23,484,Fox,,,
10/25/23,485,Fox,,,
10/26/23,486,Fox,,,
10/27/23,487,Fox,,,
10/28/23,488,Fox,,,
10/29/23,489,Fox,,,
10/30/23,490,Fox,,,
10/31/23,491,Fox,,,
11/01/23,492,Fox,,,
11/02/23,493,Fox,,,
11/03/23,494,Fox,,,
11/04/23,495,Fox,,,
11/05/23,496,Fox,,,
11/06/23,497,Fox,,,
11/07/23,498,Fox,,,
11/08/23,499,Fox,,,
11/09/23,500,Fox,,,
11/10/23,501,Fox,,,
11/11/23,502,Fox,,,
11/12/23,503,Fox,,,
11/13/23,504,Fox,,,
11/14/23,505,Fox,,,
11/15/23,506,Fox,,,
11/16/23,507,Fox,,,
11/17/23,508,Fox,,,
11/18/23,509,Fox,,,
11/19/23,510,Fox,,,
11/20/23,511,Fox,,,
11/21/23,512,Fox,,,
11/22/23,513,Fox,,,
11/23/23,514,Fox,,,
11/24/23,515,Fox,,,
11/25/23,516,Fox,,,
11/26/23,517,Fox,,,
11/27/23,518,Fox,,,
11/28/23,519,Fox,,,
11/29/23,520,Fox,,,
11/30/23,521,Fox,,,
12/01/23,522,Fox,,,
12/02/23,523,Fox,,,
12/03/23,524,Fox,,,
12/04/23,525,Fox,,,
12/05/23,526,Fox,,,
12/06/23,527,Fox,,,
12/07/23,528,Fox,,,
12/08/23,529,Fox,,,
12/09/23,530,Fox,,,
12/10/23,531,Fox,,,
12/11/23,532,Fox,,,
12/12/23,533,Fox,,,
12/13/23,534,Fox,,,
12/14/23,535,Fox,,,
12/15/23,536,Fox,,,
12/16/23,537,Fox,,,
12/17/23,538,Fox,,,
12/18/23,539,Fox,,,
12/19/23,540,Fox,,,
12/20/23,541,Fox,,,
12/21/23,542,Fox,,,
12/22/23,543,Fox,,,
12/23/23,544,Fox,,,
12/24/23,545,Fox,,,
12/25/23,546,Fox,,,
12/26/23,547,Fox,,,
12/27/23,548,Fox,,,
12/28/23,549,Fox,,,
12/29/23,550,Fox,,,
12/30/23,551,Fox,,,
12/31/23,552,Fox,,,
